region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Europe,Austria,80.4297671422,3.0,214350,1283.154,105743.56399999998,1,0,0,11,0,0,3,1,0,1,3,10,0,0,13,1,1
Europe,Azerbaijan,57.6911096055,25.0,570126,12561.747000000005,1038330.249999999,1,3,7,89,4,18,4,48,7,21,34,48,4,4,221,24,29
Europe,Belarus,59.33479099189999,6.0,348893,3410.859,692097.8859999997,3,0,0,63,10,16,1,33,0,11,22,31,0,0,83,11,11
Europe,Belgium,76.13402530649999,11.0,694300,14719.485999999999,445706.079,5,0,1,31,9,1,1,6,5,0,12,24,0,0,44,0,0
Europe,Bosnia,57.998272616499996,4.0,44500,2750.609999999999,140281.28500000006,7,2,8,37,0,0,2,1,1,1,4,34,0,1,79,2,2
Europe,Bulgaria,64.3996892048,13.0,968850,9388.183000000005,1019182.0610000001,21,9,4,84,11,27,7,6,25,3,22,90,0,1,459,3,4
Europe,Croatia,66.60944407550001,1.0,294110,1999.2940000000008,111880.27600000003,5,0,0,16,2,0,5,0,1,0,2,23,0,0,28,0,0
Europe,Cyprus,70.316970583,21.0,389235,15438.241000000009,142649.38399999993,42,4,5,82,14,14,3,7,17,0,48,70,0,0,200,0,0
Europe,Czech Republic,73.1246122718,2.0,1321250,4387.260999999999,338871.44999999995,3,0,1,22,1,12,3,0,3,0,3,27,0,0,59,0,0
Europe,Czechoslovakia,73.1246122718,1.0,41700,487.71,62517.328,0,0,0,4,0,0,0,0,0,0,1,3,0,0,5,0,0
Europe,Denmark,84.3681172653,6.0,17600,1418.8799999999999,60203.042,1,2,1,7,1,0,1,6,0,1,4,3,0,1,14,2,2
